transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,transactin_month,profit
1,2950,2/25/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,February,$17.87
2,3120,5/21/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,May,"$1,702.55"
3,402,10/16/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,October,"$1,544.61"
4,3135,8/31/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,August,$817.36
5,787,10/1/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,October,"$1,055.82"
6,2339,3/8/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,March,$709.34
7,1542,4/21/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,April,$15.08
8,2459,7/15/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,July,"$1,279.40"
9,1305,8/10/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,August,$690.49
10,3262,8/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,August,"$1,069.55"
11,1986,1/17/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,January,$114.93
12,2783,1/5/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,January,$14.23
13,1243,2/26/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,February,$903.11
14,2717,9/10/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",September,$182.81
15,247,6/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,June,"$1,055.82"
16,2961,10/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,October,"$1,702.55"
17,2426,4/3/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,April,$737.57
18,1842,6/2/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",June,$144.26
19,2268,4/6/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,April,"$1,279.40"
20,3002,1/28/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,January,$709.34
21,1582,10/9/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,October,$110.81
22,595,6/29/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,June,"$1,544.61"
23,2001,4/8/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,April,"$1,544.61"
